store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
4697487207321895871,60,13,104,0,0,0
6563641695966888897,60,8,87,0,0,0
3134875978583147463,60,10,21,0,0,36
8145583416938431430,60,7,38,0,0,50
9006666413702513612,60,23,167,0,0,0
4246903651569894352,60,23,166,0,0,0
5890936121459147728,60,1,72,0,0,0
6246781613084214225,60,11,80,0,0,0
1545115525542478807,60,11,51,0,0,25
2325008114048009175,0,0,11,60,11,66
7609510742636561367,60,8,63,0,0,11
4919497091715564509,60,23,162,0,0,5
2886778225104684003,60,9,72,0,0,3
3121802272790676455,60,17,130,0,0,0
3113606778478625773,0,0,15,60,15,90
430327590402163697,0,0,15,60,15,90
9000339734938911730,60,14,139,0,0,0
2046022316016370677,60,13,91,0,0,0
1838886190087406582,60,23,63,0,0,104
8946661276056552441,60,19,117,0,0,13
6758064066003305472,60,11,93,0,0,0
2786793496389485572,60,15,95,0,0,0
1214336484911481863,60,17,117,0,0,8
6028590997260043277,0,0,11,60,11,62
3383335018767451156,60,23,131,0,0,36
5062053676529222677,60,23,86,0,0,0
2997579043198108695,60,16,118,0,0,0
614786279203177500,60,9,66,0,0,0
8599543643535868961,60,12,89,0,0,0
455406294575940647,60,11,77,0,0,0
5091709972241384490,60,14,101,0,0,0
4291270489394381868,60,7,62,0,0,0
7206381619567002665,60,11,80,0,0,0
5454071307462509613,60,23,64,0,0,103
1096872701492823086,60,23,167,0,0,0
8250792191506580526,60,14,96,0,0,11
1919567607763993652,60,9,34,0,0,32
8363926518510945331,60,23,41,0,0,51
6530239491569517622,60,15,111,0,0,0
466834410540172344,60,10,62,0,0,10
6477640881580409912,60,8,43,0,0,54
7114973886890345527,60,11,147,0,0,0
452699122084283456,60,16,112,0,0,0
4289530848721929282,60,6,75,0,0,0
4894895496272053315,60,14,98,0,0,0
8108334374672630851,60,10,69,0,0,24
6029749917054207043,60,23,167,0,0,0
3595695187666732104,60,10,75,0,0,0
5203788817245766728,60,10,38,0,0,29
4424946105527141451,60,8,71,0,0,0
1300195604760986700,60,23,86,0,0,0
1281369870889059404,0,0,0,60,8,62
8888649652955251789,60,16,100,0,0,0
6497999077891507278,60,13,94,0,0,0
4698536436295173203,60,12,97,0,0,0
7811106495699256403,60,17,116,0,0,9
5477832915182257236,60,8,47,0,0,12
8470714152989033556,60,10,71,0,0,0
1527325327941600342,60,23,83,0,0,0
8488950128828023892,60,23,167,0,0,0
4004648968882062427,60,9,61,0,0,27
9195450510899676251,60,23,167,0,0,0
7469861793917469789,60,9,77,0,0,0
7171567047166952543,0,0,12,60,12,73
4541429140843463778,60,16,45,0,0,70
7571112454384288866,60,13,91,0,0,0
1321875631128937573,60,23,167,0,0,0
1157403575331456104,60,23,167,0,0,0
7535645748838073447,60,17,125,0,0,0
1178964235062641776,60,23,78,0,0,0
7299930777087476858,0,0,0,60,12,84
7484228659551863931,60,12,86,0,0,0
1549983478030697608,0,0,0,60,12,84
6269139879097140365,60,12,84,0,0,0
4180993268559512726,60,11,110,0,0,0
7924118054613812381,60,10,75,0,0,0
125544985669731489,60,10,75,0,0,0
4200492189112894632,0,4,4,60,4,58
3135255442049860779,60,16,100,0,0,0
8960391439271724203,60,16,160,0,0,0
4269406445495616695,60,10,70,0,0,0
324302037458289853,60,11,79,0,0,0
1517232373106574528,60,12,69,0,0,16
4244379278388069568,60,23,40,0,0,104
4385931885221086411,60,14,139,0,0,0
3534107175181649100,60,23,167,0,0,0
